"nid","published","created","changed","URL","Collection Name","NK Import ID","Institution Name","Institutional Code/Acronym","Collection Code","URL for collection","URL for collection's specimen catalog/database","URL for collection's webservices","Collection Description","Collection Content Type","Preservation Type","Accession Status (Yes=Institutional, No=Project)","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Primary Contact","Status of Collection: Active?","LSID"
"4210","Yes","24 April 2013 - 12:28pm EDT","2 August 2016 - 3:40pm EDT","http://usfsc.grscicoll.org/institutional-collection/botany-department","Botany Department","C172","3037",,"US","http://botany.si.edu/index.htm",,,"Cross-listed as a separate institution","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","NMNH - Botany Department","MRC 0166","Smithsonian Institution - P.O. Box 37012","Washington","DC","20013-7012","USA","NMNH - Botany Department","MRC 0166","Smithsonian Institution - P.O. Box 37012","Washington","DC","20013-7012","USA","2782","Yes",
"4292","Yes","24 April 2013 - 12:28pm EDT","3 August 2016 - 4:31pm EDT","http://usfsc.grscicoll.org/institutional-collection/division-birds","Division of Birds","C174","3037",,"Birds","http://vertebrates.si.edu/birds/","http://collections.mnh.si.edu/search/birds/",,"USNM bird specimens are cited without a collection code (USNM:xxxxx) 610,000+ specimens representing ~80% of bird species. Skins, skeletal and fluid-preserved tissue collections, egg sets, nests, frozen tissues. Almost 4,000 type specimens.","Biological: Living cell or tissue cultures","Sample Treatment: Fluid preserved","Yes","Smithsonian Institution","Division of Birds","PO Box 37012, MRC 116","Washington","DC","20560-0116","USA","Smithsonian Institution","Division of Birds","1000 Constitution Ave NW","Washington","DC","20004","USA","17999","Yes",
"4293","Yes","24 April 2013 - 12:28pm EDT","2 August 2016 - 3:41pm EDT","http://usfsc.grscicoll.org/institutional-collection/division-mammals","Division of Mammals","C173","3037",,"MAMM","http://vertebrates.si.edu/mammals/",,,"Roughly 590,000 preserved specimens. Collection supports a wide range of scientific research by resident staff and associates, as well as numerous visiting scientists.","Biological: Other or Undefined","Storage Environment: Other (please define)","Yes","P.O. Box 37012, MRC-108",,,"Washington","DC","20013-7012","USA","Smithsonian Institution","National Museum of Natural History","10th Street and Constitution Avenue, NW","Washington","DC","20560","USA","17977","Yes",
"23762","No","14 April 2014 - 3:46pm EDT","25 February 2015 - 1:13pm EST","http://usfsc.grscicoll.org/institutional-collection/rwmnh-tardigrades","RWMNH tardigrades",,"23731",,"Tardigrade",,,,"electronic records,  photographs and microscope slides  of tardigrades collected from across North America,  with a few international as well .","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)",,,,,,,,"USA",,,,,,,"USA",,,
"23763","No","14 April 2014 - 3:46pm EDT","25 February 2015 - 1:13pm EST","http://usfsc.grscicoll.org/institutional-collection/rwmnh-tardigrades-0","RWMNH tardigrades",,"23731",,"Tardigrade",,,,"electronic records,  photographs and microscope slides  of tardigrades collected from across North America,  with a few international as well .","Biological: Other or Undefined","Storage Environment: Ambient controlled (indoors)",,,,,,,,"USA",,,,,,,"USA",,,
"24091","Yes","11 February 2015 - 3:05pm EST","17 March 2015 - 1:17pm EDT","http://usfsc.grscicoll.org/institutional-collection/federal-moon-rocks","Federal Moon Rocks",,,,"FMR",,,,"Enormous collection of igneous Federal moon rocks.","Earth & Planetary: Asteroids","Sample Treatment: Cryopreserved","Yes","123 Reeves Street",,,"Truro","Virginia","10120","USA",,,,"Cornwall","Maryland",,,,"Yes",
"24196","Yes","31 March 2015 - 11:20am EDT","31 March 2015 - 11:21am EDT","http://usfsc.grscicoll.org/institutional-collection/cosmic-dust-collection","Cosmic Dust Collection",,"24194",,"JSC-CD","http://curator.jsc.nasa.gov/dust/index.cfm","http://curator.jsc.nasa.gov/dust/index.cfm",,"Cosmis Dust particles collected by high altitude aircraft, including material from coments and asteroids.","Earth & Planetary: Asteroids","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24195","Yes",
"24197","Yes","31 March 2015 - 11:32am EDT","31 March 2015 - 11:35am EDT","http://usfsc.grscicoll.org/institutional-collection/stardust-collection","Stardust Collection",,"24194",,"JSC-SD","http://curator.jsc.nasa.gov/stardust/index.cfm","http://curator.jsc.nasa.gov/stardust/index.cfm",,"Comet dust and interstellar dust collected by the Stardust mission and returned to Earth in 2006.","Earth & Planetary: Comets","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24195","Yes",
"24198","Yes","31 March 2015 - 11:35am EDT","31 March 2015 - 11:39am EDT","http://usfsc.grscicoll.org/institutional-collection/hayabusa-collection","Hayabusa Collection",,"24194",,"JSC-H1","http://curator.jsc.nasa.gov/hayabusa/","http://curator.jsc.nasa.gov/hayabusa/",,"Dust particles collected on asteroid 25143 Itokawa by the Hayabusa mission (JAXA) and returned to Earth in 2010.","Earth & Planetary: Asteroids","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24195","Yes",
"24199","Yes","31 March 2015 - 11:39am EDT","20 June 2016 - 1:26pm EDT","http://usfsc.grscicoll.org/institutional-collection/microparticle-impacts-collection","Microparticle Impacts Collection",,"24194",,"JSC-MIC","http://curator.jsc.nasa.gov/mic/index.cfm","http://curator.jsc.nasa.gov/mic/index.cfm",,"Various spacecraft and spacecraft components exposed to the environment of space and potentially impacted by micrometeorites. Hardware was returned to Earth.","Earth & Planetary: Space-exposed materials","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24195","Yes",
"24201","Yes","31 March 2015 - 12:03pm EDT","31 March 2015 - 12:03pm EDT","http://usfsc.grscicoll.org/institutional-collection/genesis-solar-wind-collection","Genesis Solar Wind Collection",,"24194",,"JSC-GEN","http://curator.jsc.nasa.gov/genesis/index.cfm","http://curator.jsc.nasa.gov/genesis/index.cfm",,"Samples of solar wind embedded in various collector materials, returned to Earth in 2004 by the Genesis mission.","Earth & Planetary: Other or Undefined","Storage Environment: Other (please define)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24200","Yes",
"24203","Yes","31 March 2015 - 12:17pm EDT","31 March 2015 - 12:17pm EDT","http://usfsc.grscicoll.org/institutional-collection/apollo-moon-rock-and-soil-collection","Apollo Moon Rock and Soil Collection",,"24194",,"JSC-LUN","http://curator.jsc.nasa.gov/Lunar/index.cfm","http://curator.jsc.nasa.gov/Lunar/index.cfm",,"Rocks and soils returned from the Moon by Apollo 11, 12, 14, 15, 16, and 17 between 1969 and 1972","Earth & Planetary: Lunar materials","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24202","Yes",
"24205","Yes","31 March 2015 - 1:22pm EDT","31 March 2015 - 1:23pm EDT","http://usfsc.grscicoll.org/institutional-collection/antarctic-meteorite-collection","Antarctic Meteorite Collection",,"24194",,"JSC-MET","http://curator.jsc.nasa.gov/antmet/index.cfm","http://curator.jsc.nasa.gov/antmet/index.cfm",,"Meteorites collected by Antarctic Search for Meteorites (ANSMET) expeditions since 1976","Earth & Planetary: Asteroids","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24204","Yes",
"24206","Yes","31 March 2015 - 1:29pm EDT","31 March 2015 - 1:29pm EDT","http://usfsc.grscicoll.org/institutional-collection/osiris-rex-collection","OSIRIS-REx Collection",,"24194",,"JSC-OR",,,,"Grains to be collected from asteroid 101955 Bennu by the NASA OSIRIS-REx mission, to be returned to Earth in 2023, plus associated reference materials.","Earth & Planetary: Asteroids","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24204","Yes",
"24208","Yes","31 March 2015 - 1:34pm EDT","31 March 2015 - 1:34pm EDT","http://usfsc.grscicoll.org/institutional-collection/hayabusa2-collection","Hayabusa2 Collection",,"24194",,"JSC-H2",,,,"Regolith to be collected from asteroid (162173) 1999 JU3 by JAXA&#39;s Hayabusa2 mission, scheduled to be returned to Earth in Dec 2020.  Collection will be active in 2021.","Earth & Planetary: Asteroids","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","Mail Code XI2, National Aeronautics and Space Administration","Lyndon B. Johnson Space Center","2101 NASA Parkway","Houston","Texas","77058-3696","USA",,,,,,,,"24207","No",
"24212","Yes","31 March 2015 - 2:05pm EDT","6 April 2017 - 10:55am EDT","http://usfsc.grscicoll.org/institutional-collection/veteran-affairs-biorepository-brain-bank","Veteran Affairs Biorepository Brain Bank",,"24210",,"BBB","http://www.research.va.gov/programs/tissue_banking/als/","http://www.research.va.gov/programs/tissue_banking/als/InventorySummary.pdf",,"This brain bank is primarily made up of Veterans with ALS (Amyotropic Lateral Sclerosis) in addition to normal controls. This may fit into several disciplines.  Research investigators may request tissue and/or data through the website listed above.","Biological: Living cell or tissue cultures","Storage Environment: Frozen (-80)","Yes","Southern Arizona Veteran Affairs Healthcare System","3601 S. 6th Ave","Research 0-151","Tucson","Arizona","85723","USA",,,,,,,,"24211","Yes",
"24217","Yes","31 March 2015 - 3:13pm EDT","7 July 2015 - 11:16am EDT","http://usfsc.grscicoll.org/institutional-collection/oarsa-dva-0","OARSA -DVA",,"16358",,"OARSA -DVA",,,,"Foodborne Bacterial Pathogens","Biological: Living organisms","Storage Environment: Frozen (-80)","Yes","8301 Muirkirk Rd","HFS-025",,"Laurel","Maryland","20708","USA","8301 Muirkirk Rd",,,"Laurel","Maryland","20708","USA","24213","Yes",
"24220","Yes","31 March 2015 - 3:26pm EDT","27 October 2016 - 12:27pm EDT","http://usfsc.grscicoll.org/institutional-collection/national-health-and-nutrition-exanination-surveys","National Health and Nutrition Exanination Surveys",,"24219",,"NHANES","http://www.cdc.gov/nchs/nhanes/biospecimens/biospecimens.htm",,,"720,650  vials of sera from 119167 survey participants collected from 1999-2016.  These participants represent a national probability sample of the U.S.","Biological: Other or Undefined","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","3311 Toledo Road",,,"Hyattsville","Maryland","20782","USA",,,,,,,,"24218","Yes",
"24222","No","31 March 2015 - 3:34pm EDT","10 July 2015 - 2:17pm EDT","http://usfsc.grscicoll.org/institutional-collection/active-bacterial-core","Active Bacterial Core",,"16571",,"ABCs","http://www.cdc.gov/abcs/index.html","http://www.cdc.gov/abcs/pathogens/isolatebank/currently-available.html","http://www.cdc.gov/abcs/pathogens/isolatebank/proc-req-guidelines.html","ABCs Isolate Bank is an extensive collection of group A Streptococcus, group B Streptococcus, and Streptococcus pneumoniae isolates.  ABCs is an integral part of the Emerging Infections Program of CDC.","Biological: Living organisms","Storage Environment: Controlled atmosphere (N, C02, humidity)","Yes","1600 Clifton Road MS A-27",,,"Atlanta","Georgia","30329","USA",,,,,,,,"24221","Yes",
"24368","Yes","16 July 2015 - 8:54am EDT","16 July 2015 - 11:12am EDT","http://usfsc.grscicoll.org/institutional-collection/great-lakes-fish-monitoring-and-surveillance-program","Great Lakes Fish Monitoring and Surveillance Program",,"24366",,"GLFMSP","http://www.epa.gov/grtlakes/monitoring/fish/index.html",,,"Great Lakes Fish Monitoring and Surveillance Program:  Homogenized whole body lake trout and walleye composites collected annually in each of the Great Lakes from 1972 - Present  The Great Lakes Fish Monitoring and Surveillance Program (GLFMSP) has been collecting whole fish tissue samples for chemical analysis at set locations in all five Great Lakes. The GLFMSP Archive is a collection of approximately 4000 sample jars consisting of homogenized whole body lake trout and walleye as composites. Samples are maintained at the Great Lakes Water Institute at the University of Wisconsin at Milwaukee.","Biological: Cells, tissue (non-human)","Storage Environment: Frozen (-20)","Yes","US Environmental Protection Agency","Great Lakes National Program Office, Mail Code G-17J","77 W. Jackson Blvd","Chicago","IL","60604-3590","USA","University of Wisconsin, Milwaukee","School of Freshwater Sciences","600 E. Greenfield Avenue","Milwaukee","WI","53204","USA","24357","Yes",
"24369","Yes","20 July 2015 - 10:12am EDT","20 July 2015 - 12:46pm EDT","http://usfsc.grscicoll.org/institutional-collection/great-lakes-plankton-and-benthos-monitoring-program","Great Lakes Plankton and Benthos Monitoring Program",,"24366",,"GLPBMP","http://www.epa.gov/grtlakes/glindicators/biology.html",,,"Great Lakes Plankton and Benthos Monitoring Program:  Zooplankton, phytoplankton and benthos samples collected biannually in each of the Great Lakes from 1983 - Present  The Great Lakes Plankton and Benthos Monitoring Program conducts biannual surveys within all of the five Great Lakes. During each survey, approximately 150 zooplankton and between 75 and 125 phytoplankton samples are taken, analyzed and archived. The samples are part of a long term trends program to determine the biological health of the Great Lakes. Samples are stored at the Great Lakes Water Institute at the University of Wisconsin at Milwaukee.","Biological: Preserved organisms, their parts & products","Sample Treatment: Fluid preserved","Yes","US Environmental Protection Agency","Great Lakes National Program Office, Mail Code G-17J","77 W. Jackson Blvd","Chicago","IL","60604-3590","USA","University of Wisconsin, Milwaukee","School of Freshwater Sciences","600 E. Greenfield Avenue","Milwaukee","WI","53204","USA","24358","Yes",
"24370","Yes","20 July 2015 - 10:35am EDT","20 July 2015 - 10:50am EDT","http://usfsc.grscicoll.org/institutional-collection/integrated-atmospheric-deposition-network","Integrated Atmospheric Deposition Network",,"24366",,"IADN","http://www.epa.gov/greatlakes/monitoring/air2/",,,"Integrated Atmospheric Deposition Network (binational):  Residuals of processed samples collected at five sites from 2006 - present and raw samples collected at two sites from 2003 - present  The Integrated Atmospheric Deposition Network (IADN) is a long-term binational air deposition monitoring network that has been in continuous operation since 1990. IADN determines the loadings of toxic contaminants to the Great Lakes, tracks the effectiveness of toxic reduction efforts, and identifies sources for additional reduction efforts.  Through a cooperative agreement with Indiana University, IADN collects air and precipitation samples at five sites along the shores of the Great Lakes. Air and particle samples are collected for 24 hours every 12 days.  Precipitation samples are integrated over a month.  Every sample is extracted, concentrated, cleaned up and fractionated, and then analyzed for a broad suite of toxic contaminants using gas chromatography and gas chromatography mass spectrometry.  There are two types of samples archived at Indiana University. The first is a residual of each processed sample.  There are about 4 archived vials (4ml and 2ml) per sample depending on the solvent fractionation and analytical methods applied.  The archived extracts are routinely monitored for solvent loss and topped off when necessary.  The 4 ml vials are generally kept for a minimum of 5 years (current archive dates back to 2006) while the 2 ml vials date back to 2005.  The second type of archived sample is raw subsamples from a high volume air samplers at Chicago and Cleveland sampling sites consisting of approximately 25 grams of XAD resin.  Raw samples date back to about 2003.  Archived samples are stored and managed by Indiana University.","Earth & Planetary: Other or Undefined","Storage Environment: Frozen (-20)","Yes","US Environmental Protection Agency","Great Lakes National Program Office, Mail Code G-17J","77 W. Jackson Blvd","Chicago","IL","60604-3590","USA","Indiana University","702 N. Walnut Grove Ave.",,"Bloomington","IN","47405","USA","24359","Yes",
"24371","Yes","20 July 2015 - 10:58am EDT","20 July 2015 - 11:47am EDT","http://usfsc.grscicoll.org/institutional-collection/remote-sensing-archive","Remote Sensing Archive",,"24366",,"EPIC",,,,"The EPA Environmental Photographic Interpretation Center (EPIC) provides a wide range of remote sensing and aerial photographic analyses in support of investigations under Superfund, the Resource, Conservation and Recovery Act (RCRA), or the Clean Water Act (CWA). EPIC completes approximately 150 site characterizations annually using current and historical aerial photographs. Site characterization provides detailed information about a site and its history, often going back as many as 70 years.","Records: Images (SEM, remote sensing, photos, etc.)","Storage Environment: Ambient controlled (indoors)","Yes","US Environmental Protection Agency","Environmental Sciences Division, National Exposure Research Laboratory","4220 S. Maryland Parkway, Building D","Las Vegas","NV","89119","USA",,,,,,,,"24367","Yes",
