"nid","published","created","changed","URL","Name of Institution","NK Import ID","Index Herbariorum Record","Institutional Code/Acronym","Additional Institution Names","Institutional Discipline","URL for main institutional website","URL for institutional specimen catalog","URL for institutional webservices","Institutional LSID","Cool URI","Status of Institution: Active?","Institutional Governance","Institution Type","Description of Institution","Mailing Address 1","Mailing Address 2","Mailing Address 3","City/Town","State/Province","Postal/Zip Code","Country","Physical Address 1","Physical Address 2","Physical Address 3","City/Town","State/Province","Postal/Zip Code","Country","Latitude","Longitude","Primary Contact","CITES permit number","Date herbarium was founded","Geographic coverage of herbarium","Taxonomic coverage of herbarium","Number of specimens in herbarium"
"2967","Yes","24 April 2013 - 10:51am EDT","15 November 2016 - 3:27pm EST","http://usfsc.grscicoll.org/institution/doifws-kenai-national-wildlife-refuge","DOI/FWS, Kenai National Wildlife Refuge","B306","No","KNWR","Arthropod Collection","Biological Sciences: General","https://www.fws.gov/refuge/kenai/","http://arctos.database.museum/knwr_ento","https://www.fws.gov/refuge/Kenai/what_we_do/science/specimens.html",,"http://grbio.org/cool/8wxf-3mn3","Yes","Public, Federal: General","Other institutional type","The Kenai National Wildlife Refuge houses two biological collections cataloging biodiversity of the western Kenai Peninsula.  The entomology collection (international collection coden: KNWR) currently includes over 7,000 databased specimens/lots, mostly insects collected as part of the Refuge&rsquo;s Long Term Ecological Monitoring Program.  The herbarium contains over 200 plant specimens, including many older specimens from the 1950s and 1960s.  Our collection data are managed on Arctos and are searchable via an entomology collection portal, an herbarium portal, and through GBIF.  Genetic data (DNA barcodes) from KNWR specimens are posted on BOLD and GenBank.  Loans of KNWR specimens for research purposes are encouraged.  Since most KNWR arthropod specimens are eventually to be deposited at the University of Alaska Museum, please refer to the UAM entomology collection loan policy for general loan guidelines.    The arthropod collection contains about 20,000 specimens focused on the Kenai National Wildlife Refuge. All of the arthropods (insects, spiders, centipedes, etc.) will be a single collection without the need for collection codes for the foreseeable future. There are also a handful of Gastropods and Oligochaetes included.","P.O. Box 2139","MS 519",,"Soldotna","Alaska","99669","USA","1 Ski Hill Road",,,"Soldotna","Alaska","99669","USA",,,"2800",,,,,
"3036","Yes","24 April 2013 - 10:55am EDT","23 June 2015 - 8:46am EDT","http://usfsc.grscicoll.org/institution/smithsonian-institution-national-museum-natural-history","Smithsonian Institution, National Museum of Natural History","B135","No","NMNH",,,"http://www.mnh.si.edu/rc/",,,,"http://grbio.org/cool/142r-0w94","Yes","Public, Federal: General","Museum","NMNH and USNM both refer to the National Museum of Natural History. Collections are associated with one or the other acronym. US, the US National Herbarium, is a collection within the National Museum of Natural History","P.O. Box 37012, MRC-106",,,"Washington","DC","20013-7012","USA","10th Street and Constitution Avenue, NW",,,"Washington","DC","20560","USA",,,"2639",,,,,
"3037","Yes","24 April 2013 - 10:55am EDT","23 June 2015 - 8:46am EDT","http://usfsc.grscicoll.org/institution/smithsonian-institution-national-museum-natural-history-0","Smithsonian Institution, National Museum of Natural History","B290","No","USNM",,,"http://www.mnh.si.edu/rc/","http://collections.mnh.si.edu/",,"urn:lsid:biocol.org:col:34871","http://biocol.org/urn:lsid:biocol.org:col:34871","Yes","Public, Other","Museum","NMNH and USNM both refer to the National Museum of Natural History. Collections are associated with one or the other acronym. US, the US National Herbarium, is a collection within the National Museum of Natural History","P.O. Box 37012, MRC-106",,,"Washington","DC","20013-7012","USA","10th Street and Constitution Avenue, NW",,,"Washington","DC","20560","USA",,,"2639",,,,,
"3040","Yes","24 April 2013 - 10:55am EDT","20 October 2016 - 2:26pm EDT","http://usfsc.grscicoll.org/institution/national-oceanic-and-atmospheric-administration","National Oceanic and Atmospheric Administration","B194","No","NOAA","Marine Forensic Laboratory","Biological Sciences: Zoology","http://www.noaa.gov",,,,"http://grbio.org/cool/qzhp-igg5","Yes","Public, Federal: General","Other institutional type",,"NOAA Forensic Laboratory-Charleston","219 Fort Johnson Road",,"Charleston","SC","29412","USA","1401 Constitution Avenue, NW","Room 6217",,"Washington","DC","20230","USA",,,"2693",,,,,
"3094","Yes","24 April 2013 - 10:55am EDT","1 April 2015 - 4:56pm EDT","http://usfsc.grscicoll.org/institution/smithsonian-institution-department-botany","Smithsonian Institution, Department of Botany","B287","Yes","US","United States National Herbarium",,"http://botany.si.edu/",,,"urn:lsid:biocol.org:col:15653","http://biocol.org/urn:lsid:biocol.org:col:15653","Yes","Public, Federal: General","Herbarium","Updated May 2013 (new correspondent).  All loan requests should be directed to Andrew Clark, Loans Officer.   US fungi transferred to BPI. US has collections from U.S. South Pacific Exploring Expedition (1838-1842), U.S. North Pacific Exploring Expedition (1853-1856), LaPlata Expedition (1853-1856), Mexican Boundary Survey (1854-1855), California Geological Survey (1860-1867), International Boundary Commission: U.S. and Mexico (1892-1894), Colombia  missions (1940-1945), Bureau of Science (Philippines), Harriman Alaskan Expedition, and Regnell Expeditions (Brazil).","Department of Botany","NMNH, MRC-166","P.O. Box 37012","Washington","District of Columbia","20013-7012","USA","10th and Constitution, N.W.","MRC 0166","Smithsonian Institution - P.O. Box 37012","WASHINGTON","District of Columbia","20013-7012","USA","38.8759","-77.0353","2782","US 005","1848","All groups (except fungi) worldwide with emphasis on neotropics, North America, Pacific Islands, Philippines, and Indian subcontinent.",,"4340000"
"3095","Yes","24 April 2013 - 10:55am EDT","16 June 2015 - 3:59pm EDT","http://usfsc.grscicoll.org/institution/smithsonian-tropical-research-institute-summit-herbarium","Smithsonian Tropical Research Institute - Summit Herbarium","B126","Yes","SCZ","Summit Herbarium",,"http://biogeodb.stri.si.edu/herbarium/",,,"urn:lsid:biocol.org:col:14071","http://biocol.org/urn:lsid:biocol.org:col:14071","Yes","Public, Federal: General","Herbarium","Specialty: Panama.Inst. type: Government and private|IH upload June 2010","Apartado 2072","Smithsonian Tropical Research Institute","Apartado 2072","Balboa",,,"Panama","Summit Herbarium","Smithsonian Tropical Research Institute","Apartado 2072","BALBOA",,,"Panama","9.06472","-79.6427","2631",,"1968","Panama.",,"13000"
"3115","Yes","24 April 2013 - 10:55am EDT","1 April 2015 - 1:01pm EDT","http://usfsc.grscicoll.org/institution/united-states-national-parasite-collection","United States National Parasite Collection","B282","No","USNPC",,,"http://www.ars.usda.gov/is/np/systematics/animalpar.htm",,,,"http://grbio.org/cool/ppqr-es1r","Yes","Public, Federal: General","Museum","The major collection of animal parasites in North America. It is one of the world's largest parasite collections and is the major repository of helminth type specimens for North American parasitologists. Although helminths are the largest group in the collection, other groups include parasitic protozoans, pentastomes, lice, mites, ticks, and other miscellaneous parasites. Many of the parasites were collected during USDA survey and eradication programs. About half of the specimens are stored in small bottles in a solution of 92 parts 70 percent ethanol, 3 parts formalin, and 5 parts glycerine. The others are mounted permanently on glass microscope slides. Specimens cataloged in a single collection without collection codes.","Animal Parasitic Diseases Laboratory","BARC East 1180","10300 Baltimore Avenue","Beltsville","Maryland","20705","USA","Animal Parasitic Diseases Laboratory","BARC East 1180","10300 Baltimore Avenue","Beltsville","Maryland","20705","USA",,,"2777",,,,,
"4632","Yes","13 May 2013 - 11:48am EDT","13 July 2016 - 11:13am EDT","http://usfsc.grscicoll.org/institution/doinps-crater-lake-national-park-botany-collection","DOI/NPS, Crater Lake National Park Botany Collection","B1019","Yes","CRLA",,,"www.nps.gov/crla",,,"urn:lsid:biocol.org:col:15436","http://biocol.org/urn:lsid:biocol.org:col:15436","Yes","Public, Federal: General","Herbarium","Updated June 2012  Federal Government agency with natural and cultural collections directly related to Crater Lake National Park and vicinity.  For information on other collections held at this National Park, see this record.","P.O. Box 7",,,"Crater Lake","Oregon","97604","USA","Highway 62, Steel Center",,,"CRATER LAKE","Oregon","97604-0007","USA","42.7686","-122.062","21289",,"1896","Crater Lake National Park and adjacent vicinity; used primarily for park-specific research and resources management decision-making.",,"5000"
"4707","Yes","13 May 2013 - 11:48am EDT","8 July 2016 - 11:31am EDT","http://usfsc.grscicoll.org/institution/doinps-death-valley-national-park-botany-collection","DOI/NPS, Death Valley National Park Botany Collection","B1094","Yes","DEVA",,,"http://www.nps.gov/deva",,,"urn:lsid:biocol.org:col:12529","http://biocol.org/urn:lsid:biocol.org:col:12529","Yes","Public, Federal: General","Herbarium","Updated March 2002  For information on other collections held at this National Park, see this record.","P.O. Box 579",,,"Death Valley","California","92328","USA","Highway 190, Cow Creek Administrative Area.",,,"DEATH VALLEY","California","92328","USA","36.4002","-116.859","11634",,"1933","Death Valley National Park.",,"3148"
"4880","Yes","13 May 2013 - 11:48am EDT","8 July 2016 - 11:49am EDT","http://usfsc.grscicoll.org/institution/doinps-florissant-fossil-beds-national-monument-botany-collection","DOI/NPS, Florissant Fossil Beds National Monument Botany Collection","B1267","Yes","FFBNM",,,"www.nps.gov/flfo",,,,"http://grbio.org/cool/rknd-fd52","Yes","Public, Federal: General","Herbarium","Entered Jan 2013.  For more information on other collections at this National Park, see this record.","P. O. Box 185",,,"Florissant","Colorado","80816","USA","15807 Terrer County Rd. 1",,,"Florissant","Colorado","80816","USA","38.9135","-105.28","24642",,"1980","The Herbarium contains a near total documentation of Florissant Fossil Bed National Monument flora.  The flora was  vouchered by William A. Weber.",,"1263"
"4909","Yes","13 May 2013 - 11:48am EDT","28 February 2017 - 11:27am EST","http://usfsc.grscicoll.org/institution/usdafs-fremont-national-forest","USDA/FS, Fremont National Forest","B1296","Yes","FNLO","U.S. Forest Service",,"https://www.fs.usda.gov/fremont-winema",,,"urn:lsid:biocol.org:col:15437","http://biocol.org/urn:lsid:biocol.org:col:15437","No","Public, Federal: General","Herbarium","The Fremont and Winema National Forests were administratively combined in 2002 and cover 2.3 million acres. The heavily-timbered forests extend to the west and border Crater Lake National Park and the Cascade Range. To the east is the semi-arid highland belt which is commonly known as &quot;Oregon&#39;s Outback&quot; and includes part of the Warner Mountain Range.  The Oregon-California border marks the Forest&#39;s southern border.   FNLO (2000 specimens) transferred to BLMLK in 1981. Contact Lucile A. Housley, lucile_housley@blm.gov","1301 South G Street",,,"Lakeview","Oregon","97630","USA",,,,"Lakeview","Oregon","97630","USA","42.2244","-120.422","24269",,,,,
"4911","Yes","13 May 2013 - 11:48am EDT","10 November 2016 - 10:45am EST","http://usfsc.grscicoll.org/institution/doinps-south-florida-collections-management-center-everglades-national-park","DOI/NPS, South Florida Collections Management Center, Everglades National Park","B1298","Yes","FNPS","Herbarium",,"https://www.nps.gov/ever","https://www.nps.gov/ever/learn/historyculture/collections.htm",,"urn:lsid:biocol.org:col:15822","http://biocol.org/urn:lsid:biocol.org:col:15822","Yes","Public, Federal: General","Herbarium","Updated Sep 2004.","40001 State Road 9336",,,"Homestead","Florida","33034","USA","Daniel Beard Center.",,,"HOMESTEAD","Florida","33034","USA","25.2868","-80.8986","13316",,"1988","South Florida National Parks. Official repository for Big Cypress National Preserve, Biscayne National Park, Dry Tortugas National Park, and Everglades National Park.",,"8600"
"4915","Yes","13 May 2013 - 11:48am EDT","28 February 2017 - 11:28am EST","http://usfsc.grscicoll.org/institution/usdafs-rocky-mountain-research-station-forest-pathology-herbarium","USDA/FS, Rocky Mountain Research Station, Forest Pathology Herbarium","B1302","Yes","FPF","U.S. Forest Service",,"https://www.fs.fed.us/rmrs/",,,"urn:lsid:biocol.org:col:13938","http://biocol.org/urn:lsid:biocol.org:col:13938","No","Public, Federal: General","Herbarium","FPF mistletoe collection being dispersed to US and UC. FPF no longer accepting or lending mistletoe specimens.","240 West Prospect Street",,,"Fort Collins","Colorado","80526-2098","USA",,,,"Fort Collins","Colorado","80526-2098","USA","40.5675","-105.115","11144",,"1952","Forest fungi of Rocky Mountains and southwestern U.S.;  of U.S. and northern Mexico;  worldwide.",,"12000"
